,DATETIME,mark,LATITUDE_MDSS_deg,LONGITUDE_MDSS_deg,TWD_MDSS_deg,TWS_MDSS_km_h_1
17325,2026-01-18 05:37:41+00:00,M1,-32.0690468866378,115.72772969305501,211.99645985290059,34.07832
17326,2026-01-18 05:37:42+00:00,M1,-32.06904594786464,115.7277307659388,211.9920651875364,34.2288
17327,2026-01-18 05:37:43+00:00,M1,-32.069046735763536,115.72772791609178,212.0722678304394,33.95664
17328,2026-01-18 05:37:44+00:00,M1,-32.06904413737358,115.72772647440422,211.95471053193742,33.011280000000006
17329,2026-01-18 05:37:45+00:00,M1,-32.0690436344594,115.72772654145942,211.79100924710838,33.1452
17330,2026-01-18 05:37:46+00:00,M1,-32.069042460992954,115.7277237586678,211.80089724417863,33.20496
17331,2026-01-18 05:37:47+00:00,M1,-32.069040818139925,115.7277228534224,211.7646412549214,33.092639999999996
17332,2026-01-18 05:37:48+00:00,M1,-32.069040482863805,115.7277243789284,211.6943266090886,32.921279999999996
17333,2026-01-18 05:37:49+00:00,M1,-32.06903882324696,115.72772458009398,211.6657612842188,32.91552
17334,2026-01-18 05:37:50+00:00,M1,-32.06903887353838,115.727723976597,211.6690572832424,33.11496
17335,2026-01-18 05:37:51+00:00,M1,-32.06904051639142,115.72772540152077,211.6943266090882,32.92776
17336,2026-01-18 05:37:52+00:00,M1,-32.06904054991902,115.72772603854537,211.708609271523,32.71752
17337,2026-01-18 05:37:53+00:00,M1,-32.06904298067096,115.72772867046301,211.74596392712184,32.451119999999996
17338,2026-01-18 05:37:54+00:00,M1,-32.0690440032631,115.727730229497,211.812982573931,32.1408
17339,2026-01-18 05:37:55+00:00,M1,-32.0690445229411,115.72772853635259,211.8843958861048,31.860000000000003
17340,2026-01-18 05:37:56+00:00,M1,-32.06904598139224,115.72772784903681,211.923947874386,31.755599999999998
17341,2026-01-18 05:37:57+00:00,M1,-32.06904760748148,115.72772560268619,211.90527054658637,31.72464
17342,2026-01-18 05:37:58+00:00,M1,-32.0690466519445,115.72772416099899,211.9206518753624,31.427279999999996
17343,2026-01-18 05:37:59+00:00,M1,-32.069043919444105,115.72772803343837,211.93163853877383,31.108320000000003
17344,2026-01-18 05:38:00+00:00,M1,-32.0690439026803,115.72772506624457,212.006347849971,31.0464
17345,2026-01-18 05:38:01+00:00,M1,-32.06904336623848,115.72772307135179,212.0942411572618,30.61368
17346,2026-01-18 05:38:02+00:00,M1,-32.0690383706242,115.7277270443738,212.129398480178,30.18816
17347,2026-01-18 05:38:03+00:00,M1,-32.069039326161125,115.72772805020242,212.13159581286058,30.077280000000002
17348,2026-01-18 05:38:04+00:00,M1,-32.06903827004134,115.72772905603041,212.19531846064643,29.84328
17349,2026-01-18 05:38:05+00:00,M1,-32.06903719715774,115.72773017920579,212.2568437757502,29.5524
17350,2026-01-18 05:38:06+00:00,M1,-32.069040214642875,115.7277296092358,212.3183690908536,29.023200000000003
17351,2026-01-18 05:38:07+00:00,M1,-32.069040130823865,115.72772940807019,212.35572374645238,28.699199999999998
17352,2026-01-18 05:38:08+00:00,M1,-32.069042846560485,115.72772664204258,212.216193121128,29.468880000000002
17353,2026-01-18 05:38:09+00:00,M1,-32.06904309801759,115.72772387601418,212.00964384899422,30.312720000000002
17354,2026-01-18 05:38:10+00:00,M1,-32.06904381886124,115.72772328928123,211.7415692617576,30.749039999999997
17355,2026-01-18 05:38:11+00:00,M1,-32.069043701514595,115.72772159613643,211.39548936429955,30.83256
17356,2026-01-18 05:38:12+00:00,M1,-32.06904220953584,115.7277226857842,210.93954283272782,30.83616
17357,2026-01-18 05:38:13+00:00,M1,-32.069042008370154,115.72772369161238,210.67696157719655,30.833999999999996
17358,2026-01-18 05:38:14+00:00,M1,-32.06904093548656,115.72772503271699,210.6736655781734,30.836879999999997
